file,model_name,parameter,shot,accuracy,precision,recall,f1_score,nan_replaced
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/gemma/diabetes_predictions_gemma2_one_shot.csv,gemma,2,one,0.6549479166666666,0.7231891668854795,0.7220149253731343,0.6549426515093716,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/gemma/diabetes_predictions_gemma2_three_shot.csv,gemma,2,three,0.7434895833333334,0.7211756671195942,0.7320149253731343,0.7250278523435043,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/gemma/diabetes_predictions_gemma2_zero_shot.csv,gemma,2,zero,0.7200520833333334,0.7159025350391964,0.7373880597014926,0.7121815598880938,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/llama3.1/diabetes_predictions_llama3.1_one_shot.csv,llama,3.1,one,0.3515625,0.674934725848564,0.502,0.2631716846347685,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/llama3.1/diabetes_predictions_llama3.1_three_shot.csv,llama,3.1,three,0.3567708333333333,0.6758530183727034,0.506,0.272051882267163,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/llama3.1/diabetes_predictions_llama3.1_zero_shot.csv,llama,3.1,zero,0.3645833333333333,0.6143617021276596,0.5102686567164179,0.28791609667122664,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/llama3.2/diabetes_predictions_llama3.2_one_shot.csv,llama,3.2,one,0.3541666666666667,0.675392670157068,0.504,0.2676264304171281,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/llama3.2/diabetes_predictions_llama3.2_three_shot.csv,llama,3.2,three,0.3697916666666667,0.6094321228369486,0.5134029850746269,0.2977396903126346,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/llama3.2/diabetes_predictions_llama3.2_zero_shot.csv,llama,3.2,zero,0.3502604166666667,0.6747066492829205,0.501,0.26093320605166476,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/mistral/diabetes_predictions_mistral_one_shot.csv,mistral,,one,0.3893229166666667,0.6818181818181819,0.531,0.32504708097928436,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/mistral/diabetes_predictions_mistral_three_shot.csv,mistral,,three,0.6015625,0.6823523866385948,0.6732238805970149,0.6011053249777645,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/mistral/diabetes_predictions_mistral_zero_shot.csv,mistral,,zero,0.4192708333333333,0.6785714285714286,0.553134328358209,0.37136984290118924,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/chatgpt/diabetes_predictions_chatgpt_one_shot.csv,chatgpt,,one,0.72265625,0.6986317527718802,0.7073582089552239,0.7018236832751565,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/chatgpt/diabetes_predictions_chatgpt_three_shot.csv,chatgpt,,three,0.7421875,0.7196581196581197,0.7301492537313433,0.7234314980793854,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/chatgpt/diabetes_predictions_chatgpt_zero_shot.csv,chatgpt,,zero,0.7135416666666666,0.69375,0.7072835820895522,0.6968914147937656,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/gemini/diabetes_predictions_gemini_one_shot.csv,gemini,,one,0.7291666666666666,0.46839904151596556,0.4674029850746269,0.467897894864187,0
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/gemini/diabetes_predictions_gemini_zero_shot.csv,gemini,,zero,0.7330729166666666,0.47098673476626235,0.4682487562189055,0.46954158007288943,1
/Users/shadmansakib/Documents/Diabetes_Prediction/Diabetes_Prediction/models/gemini/diabetes_predictions_gemini_three_shot.csv,gemini,,three,0.73046875,0.4703366870231244,0.4726865671641791,0.4713419567940234,1
